,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
2739,0.9,25.00075,200.0,0.50005,20,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2740,0.9,25.00075,200.0,0.7500249999999999,2,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2741,0.9,25.00075,200.0,0.7500249999999999,6,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2742,0.9,25.00075,200.0,0.7500249999999999,11,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2743,0.9,25.00075,200.0,0.7500249999999999,15,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2744,0.9,25.00075,200.0,0.7500249999999999,20,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2745,0.9,25.00075,200.0,1.0,2,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2746,0.9,25.00075,200.0,1.0,6,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2747,0.9,25.00075,200.0,1.0,11,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2748,0.9,25.00075,200.0,1.0,15,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2749,0.9,25.00075,200.0,1.0,20,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2750,0.9,50.000499999999995,0.01,0.0001,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2751,0.9,50.000499999999995,0.01,0.0001,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2752,0.9,50.000499999999995,0.01,0.0001,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2753,0.9,50.000499999999995,0.01,0.0001,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2754,0.9,50.000499999999995,0.01,0.0001,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2755,0.9,50.000499999999995,0.01,0.250075,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2756,0.9,50.000499999999995,0.01,0.250075,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2757,0.9,50.000499999999995,0.01,0.250075,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2758,0.9,50.000499999999995,0.01,0.250075,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2759,0.9,50.000499999999995,0.01,0.250075,20,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2760,0.9,50.000499999999995,0.01,0.50005,2,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2761,0.9,50.000499999999995,0.01,0.50005,6,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2762,0.9,50.000499999999995,0.01,0.50005,11,-0.3271794939340711,7.010751462704433,1,7.081711380154683
2763,0.9,50.000499999999995,0.01,0.50005,15,-0.3271794939340711,7.010751462704433,1,7.081711380154683
